Q: http://ssd.jpl.nasa.gov/sbdb_query.cgi#x, alle Asteroiden aus dem Main-belt  mit Durchmesser größer 10 km 
name,diameter,e,a,orbital_period_in_years,albedo,period_of_rot_in_h,GM
"   230 Athamantis",108.99,.06123775277186708,2.382293186248997,3.67706252876382,0.1708,24.0055,
"   231 Vindobona",82.33,.1511981171462032,2.922894639229449,4.99721394680197,0.0545,14.245,
"   232 Russia",53.28,.1746536188736026,2.552713223103335,4.0786012154016,0.0494,21.905,
"   233 Asterope",102.78,.1004410978843615,2.659892293254302,4.33814714779912,0.0870,19.70,
"   234 Barbara",43.75,.2456855818817869,2.385459875649539,3.68439662831691,0.2276,26.4744,
"   235 Carolina",57.58,.06338300298928437,2.880438335383215,4.88873026342743,0.1580,17.610,
"   236 Honoria",86.20,.1904240285693218,2.797870234159882,4.68003988372344,0.1271,12.336,
"   237 Coelestina",41.08,.07200663496787536,2.764578794842906,4.59675821678885,0.2108,29.215,
"   238 Hypatia",148.49,.08833537617149206,2.908268953487052,4.95975304740466,0.0428,8.8749,
"   239 Adrastea",41.52,.234856742071621,2.966162471265436,5.10858478924084,0.0777,18.4707,
"   240 Vanadis",103.90,.2055059273532704,2.665582307413752,4.35207476907515,0.0411,10.64,
"   241 Germania",168.90,.1021267841811104,3.048566010249016,5.32294044366466,0.0575,15.51,
"   242 Kriemhild",38.90,.1193462619621284,2.862017314854245,4.84190860539662,0.2440,4.5478,
"   243 Ida",32,.04113199557798874,2.86108553940037,4.83954425682602,0.2383,4.634,0.00275
"   244 Sita",10.95,.137487910131174,2.174241547986004,3.2060470242116,0.1941,129.51,
"   245 Vera",79.50,.1935419134803921,3.105043850632307,5.47154290407303,0.2082,14.38,
"   246 Asporina",60.10,.1098419419072023,2.693546378375999,4.420739142143,0.1744,16.222,
"   247 Eukrate",134.43,.2425733362088498,2.743191876879462,4.54352039001754,0.0595,12.093,
"   248 Lameia",48.66,.06658753578587837,2.471129551432716,3.88464622531336,0.0615,11.912,
"   249 Ilse",34.83,.217603003729265,2.377211660065717,3.66530382370376,0.0428,84.94,
"   250 Bettina",79.75,.1322938647438934,3.149057985001399,5.58829325818445,0.2581,5.0545,
"   251 Sophia",28.42,.09910959549843819,3.097454370970598,5.45149450206815,0.2188,20.216,
"   252 Clementina",69.29,.06954775841996257,3.159241730781614,5.61542315395237,0.0843,10.864,
